Production,dayOfYear,month_number,Hour,hour_sinhalf
4739.0,6,1,10,0.9790840876823229
4124.0,6,1,11,0.9976687691905392
3690.0,6,1,12,0.9976687691905392
3466.0,6,1,13,0.9790840876823229
3468.0,6,1,14,0.9422609221188205
3395.0,6,1,15,0.8878852184023752
3989.0,6,1,16,0.8169698930104421
5029.0,6,1,17,0.7308359642781239
5474.0,6,1,18,0.631087944326053
5724.0,6,1,19,0.5195839500354339
6409.0,6,1,20,0.3984010898462414
6617.0,6,1,21,0.2697967711570243
6129.0,6,1,22,0.1361666490962471
5843.0,6,1,23,1.2246467991473532e-16
5544.0,7,1,0,0.0
5145.0,7,1,1,0.1361666490962466
4496.0,7,1,2,0.2697967711570243
3979.0,7,1,3,0.39840108984624145
3611.0,7,1,4,0.5195839500354336
3292.0,7,1,5,0.6310879443260529
3127.0,7,1,6,0.730835964278124
2927.0,7,1,7,0.816969893010442
3031.0,7,1,8,0.8878852184023752
2999.0,7,1,9,0.9422609221188204
2916.0,7,1,10,0.9790840876823229
2982.0,7,1,11,0.9976687691905392
3063.0,7,1,12,0.9976687691905392
3161.0,7,1,13,0.9790840876823229
3287.0,7,1,14,0.9422609221188205
3655.0,7,1,15,0.8878852184023752
3989.0,7,1,16,0.8169698930104421
4531.0,7,1,17,0.7308359642781239
4976.0,7,1,18,0.631087944326053
5536.0,7,1,19,0.5195839500354339
5577.0,7,1,20,0.3984010898462414
5513.0,7,1,21,0.2697967711570243
5467.0,7,1,22,0.1361666490962471
5545.0,7,1,23,1.2246467991473532e-16
5705.0,8,1,0,0.0
5831.0,8,1,1,0.1361666490962466
6010.0,8,1,2,0.2697967711570243
5927.0,8,1,3,0.39840108984624145
5686.0,8,1,4,0.5195839500354336
5387.0,8,1,5,0.6310879443260529
5250.0,8,1,6,0.730835964278124
4944.0,8,1,7,0.816969893010442
4635.0,8,1,8,0.8878852184023752
4262.0,8,1,9,0.9422609221188204
3849.0,8,1,10,0.9790840876823229
3428.0,8,1,11,0.9976687691905392
3430.0,8,1,12,0.9976687691905392
3262.0,8,1,13,0.9790840876823229
2912.0,8,1,14,0.9422609221188205
2689.0,8,1,15,0.8878852184023752
2663.0,8,1,16,0.8169698930104421
2741.0,8,1,17,0.7308359642781239
2786.0,8,1,18,0.631087944326053
3112.0,8,1,19,0.5195839500354339
3555.0,8,1,20,0.3984010898462414
4275.0,8,1,21,0.2697967711570243
4924.0,8,1,22,0.1361666490962471
5657.0,8,1,23,1.2246467991473532e-16
6286.0,9,1,0,0.0
6793.0,9,1,1,0.1361666490962466
7248.0,9,1,2,0.2697967711570243
8044.0,9,1,3,0.39840108984624145
8778.0,9,1,4,0.5195839500354336
9291.0,9,1,5,0.6310879443260529
9538.0,9,1,6,0.730835964278124
9902.0,9,1,7,0.816969893010442
10181.0,9,1,8,0.8878852184023752
10308.0,9,1,9,0.9422609221188204
10286.0,9,1,10,0.9790840876823229
10329.0,9,1,11,0.9976687691905392
10330.0,9,1,12,0.9976687691905392
10074.0,9,1,13,0.9790840876823229
9824.0,9,1,14,0.9422609221188205
9837.0,9,1,15,0.8878852184023752
10111.0,9,1,16,0.8169698930104421
10410.0,9,1,17,0.7308359642781239
10757.0,9,1,18,0.631087944326053
11187.0,9,1,19,0.5195839500354339
11138.0,9,1,20,0.3984010898462414
10965.0,9,1,21,0.2697967711570243
10422.0,9,1,22,0.1361666490962471
9937.0,9,1,23,1.2246467991473532e-16
9681.0,10,1,0,0.0
9096.0,10,1,1,0.1361666490962466
8778.0,10,1,2,0.2697967711570243
8477.0,10,1,3,0.39840108984624145
8138.0,10,1,4,0.5195839500354336
7804.0,10,1,5,0.6310879443260529
7567.0,10,1,6,0.730835964278124
7552.0,10,1,7,0.816969893010442
7462.0,10,1,8,0.8878852184023752
6647.0,10,1,9,0.9422609221188204
5883.0,10,1,10,0.9790840876823229
5599.0,10,1,11,0.9976687691905392
5382.0,10,1,12,0.9976687691905392
4828.0,10,1,13,0.9790840876823229
3988.0,10,1,14,0.9422609221188205
3086.0,10,1,15,0.8878852184023752
2484.0,10,1,16,0.8169698930104421
2240.0,10,1,17,0.7308359642781239
2058.0,10,1,18,0.631087944326053
1887.0,10,1,19,0.5195839500354339
1584.0,10,1,20,0.3984010898462414
1497.0,10,1,21,0.2697967711570243
1570.0,10,1,22,0.1361666490962471
1571.0,10,1,23,1.2246467991473532e-16
1608.0,11,1,0,0.0
1750.0,11,1,1,0.1361666490962466
2008.0,11,1,2,0.2697967711570243
2169.0,11,1,3,0.39840108984624145
2387.0,11,1,4,0.5195839500354336
2644.0,11,1,5,0.6310879443260529
2898.0,11,1,6,0.730835964278124
3309.0,11,1,7,0.816969893010442
3656.0,11,1,8,0.8878852184023752
4024.0,11,1,9,0.9422609221188204
4027.0,11,1,10,0.9790840876823229
3835.0,11,1,11,0.9976687691905392
3822.0,11,1,12,0.9976687691905392
3946.0,11,1,13,0.9790840876823229
3843.0,11,1,14,0.9422609221188205
3558.0,11,1,15,0.8878852184023752
3328.0,11,1,16,0.8169698930104421
3412.0,11,1,17,0.7308359642781239
3810.0,11,1,18,0.631087944326053
4147.0,11,1,19,0.5195839500354339
4366.0,11,1,20,0.3984010898462414
4499.0,11,1,21,0.2697967711570243
4739.0,11,1,22,0.1361666490962471
5144.0,11,1,23,1.2246467991473532e-16
5338.0,12,1,0,0.0
5648.0,12,1,1,0.1361666490962466
6006.0,12,1,2,0.2697967711570243
6158.0,12,1,3,0.39840108984624145
6427.0,12,1,4,0.5195839500354336
6787.0,12,1,5,0.6310879443260529
7028.0,12,1,6,0.730835964278124
7376.0,12,1,7,0.816969893010442
7717.0,12,1,8,0.8878852184023752
7662.0,12,1,9,0.9422609221188204
7502.0,12,1,10,0.9790840876823229
7205.0,12,1,11,0.9976687691905392
7119.0,12,1,12,0.9976687691905392
6810.0,12,1,13,0.9790840876823229
6328.0,12,1,14,0.9422609221188205
5759.0,12,1,15,0.8878852184023752
5378.0,12,1,16,0.8169698930104421
4965.0,12,1,17,0.7308359642781239
4553.0,12,1,18,0.631087944326053
4299.0,12,1,19,0.5195839500354339
4068.0,12,1,20,0.3984010898462414
3880.0,12,1,21,0.2697967711570243
3729.0,12,1,22,0.1361666490962471
3429.0,12,1,23,1.2246467991473532e-16
3145.0,13,1,0,0.0
2843.0,13,1,1,0.1361666490962466
2618.0,13,1,2,0.2697967711570243
