Source,Production,dayOfYear,month_number,Hour,month_sinhalf,hour_sinhalf
1,1592.0,5,1,6,1.0,0.730835964278124
0,0.0,5,1,7,0.9659258262890683,0.816969893010442
1,1625.0,5,1,7,0.9659258262890683,0.816969893010442
1,1674.0,5,1,8,0.8660254037844387,0.8878852184023752
0,31.0,5,1,8,0.8660254037844387,0.8878852184023752
1,1742.0,5,1,9,0.7071067811865476,0.9422609221188204
0,454.0,5,1,9,0.7071067811865476,0.9422609221188204
0,1211.0,5,1,10,0.49999999999999994,0.9790840876823229
1,1730.0,5,1,10,0.49999999999999994,0.9790840876823229
1,1423.0,5,1,11,0.258819045102521,0.9976687691905392
0,1834.0,5,1,11,0.258819045102521,0.9976687691905392
1,1224.0,5,1,12,1.2246467991473532e-16,0.9976687691905392
0,2114.0,5,1,12,1.2246467991473532e-16,0.9976687691905392
1,1155.0,5,1,13,-0.2588190451025208,0.9790840876823229
0,2113.0,5,1,13,-0.2588190451025208,0.9790840876823229
1,1137.0,5,1,14,-0.4999999999999997,0.9422609221188205
0,1858.0,5,1,14,-0.4999999999999997,0.9422609221188205
1,1080.0,5,1,15,-0.7071067811865471,0.8878852184023752
0,1288.0,5,1,15,-0.7071067811865471,0.8878852184023752
1,979.0,5,1,16,-0.8660254037844385,0.8169698930104421
0,487.0,5,1,16,-0.8660254037844385,0.8169698930104421
0,40.0,5,1,17,-0.9659258262890683,0.7308359642781239
1,1153.0,5,1,17,-0.9659258262890683,0.7308359642781239
1,1544.0,5,1,18,-1.0,0.631087944326053
0,4.0,5,1,18,-1.0,0.631087944326053
1,1777.0,5,1,19,-0.9659258262890684,0.5195839500354339
0,1.0,5,1,19,-0.9659258262890684,0.5195839500354339
1,1867.0,5,1,20,-0.8660254037844386,0.3984010898462414
0,1.0,5,1,20,-0.8660254037844386,0.3984010898462414
1,1937.0,5,1,21,-0.7071067811865477,0.2697967711570243
0,1.0,5,1,21,-0.7071067811865477,0.2697967711570243
1,2038.0,5,1,22,-0.5000000000000004,0.1361666490962471
0,1.0,5,1,22,-0.5000000000000004,0.1361666490962471
0,0.0,5,1,23,-0.25881904510252157,1.2246467991473532e-16
1,2125.0,5,1,23,-0.25881904510252157,1.2246467991473532e-16
0,0.0,6,1,0,0.0,0.0
1,2270.0,6,1,0,0.0,0.0
