Production,dayOfYear,month_sinhalf,hour_sinhalf
0.0,1,0.0,0.0
0.0,1,0.25881904510252074,0.1361666490962466
0.0,1,0.49999999999999994,0.2697967711570243
0.0,1,0.7071067811865476,0.39840108984624145
0.0,1,0.8660254037844386,0.5195839500354336
0.0,1,0.9659258262890683,0.6310879443260529
0.0,1,1.0,0.730835964278124
0.0,1,0.9659258262890683,0.816969893010442
28.0,1,0.8660254037844387,0.8878852184023752
310.0,1,0.7071067811865476,0.9422609221188204
780.0,1,0.49999999999999994,0.9790840876823229
1166.0,1,0.258819045102521,0.9976687691905392
1359.0,1,1.2246467991473532e-16,0.9976687691905392
1339.0,1,-0.2588190451025208,0.9790840876823229
1064.0,1,-0.4999999999999997,0.9422609221188205
592.0,1,-0.7071067811865471,0.8878852184023752
164.0,1,-0.8660254037844385,0.8169698930104421
16.0,1,-0.9659258262890683,0.7308359642781239
3.0,1,-1.0,0.631087944326053
0.0,1,-0.9659258262890684,0.5195839500354339
0.0,1,-0.8660254037844386,0.3984010898462414
0.0,1,-0.7071067811865477,0.2697967711570243
0.0,1,-0.5000000000000004,0.1361666490962471
0.0,1,-0.25881904510252157,1.2246467991473532e-16
0.0,2,0.0,0.0
0.0,2,0.25881904510252074,0.1361666490962466
0.0,2,0.49999999999999994,0.2697967711570243
0.0,2,0.7071067811865476,0.39840108984624145
0.0,2,0.8660254037844386,0.5195839500354336
0.0,2,0.9659258262890683,0.6310879443260529
0.0,2,1.0,0.730835964278124
0.0,2,0.9659258262890683,0.816969893010442
13.0,2,0.8660254037844387,0.8878852184023752
272.0,2,0.7071067811865476,0.9422609221188204
790.0,2,0.49999999999999994,0.9790840876823229
1050.0,2,0.258819045102521,0.9976687691905392
1269.0,2,1.2246467991473532e-16,0.9976687691905392
1166.0,2,-0.2588190451025208,0.9790840876823229
948.0,2,-0.4999999999999997,0.9422609221188205
586.0,2,-0.7071067811865471,0.8878852184023752
233.0,2,-0.8660254037844385,0.8169698930104421
19.0,2,-0.9659258262890683,0.7308359642781239
3.0,2,-1.0,0.631087944326053
0.0,2,-0.9659258262890684,0.5195839500354339
0.0,2,-0.8660254037844386,0.3984010898462414
0.0,2,-0.7071067811865477,0.2697967711570243
0.0,2,-0.5000000000000004,0.1361666490962471
0.0,2,-0.25881904510252157,1.2246467991473532e-16
0.0,3,0.0,0.0
0.0,3,0.25881904510252074,0.1361666490962466
0.0,3,0.49999999999999994,0.2697967711570243
0.0,3,0.7071067811865476,0.39840108984624145
0.0,3,0.8660254037844386,0.5195839500354336
0.0,3,0.9659258262890683,0.6310879443260529
0.0,3,1.0,0.730835964278124
0.0,3,0.9659258262890683,0.816969893010442
18.0,3,0.8660254037844387,0.8878852184023752
218.0,3,0.7071067811865476,0.9422609221188204
577.0,3,0.49999999999999994,0.9790840876823229
832.0,3,0.258819045102521,0.9976687691905392
1013.0,3,1.2246467991473532e-16,0.9976687691905392
958.0,3,-0.2588190451025208,0.9790840876823229
757.0,3,-0.4999999999999997,0.9422609221188205
459.0,3,-0.7071067811865471,0.8878852184023752
185.0,3,-0.8660254037844385,0.8169698930104421
17.0,3,-0.9659258262890683,0.7308359642781239
2.0,3,-1.0,0.631087944326053
0.0,3,-0.9659258262890684,0.5195839500354339
0.0,3,-0.8660254037844386,0.3984010898462414
0.0,3,-0.7071067811865477,0.2697967711570243
0.0,3,-0.5000000000000004,0.1361666490962471
0.0,3,-0.25881904510252157,1.2246467991473532e-16
0.0,4,0.0,0.0
0.0,4,0.25881904510252074,0.1361666490962466
0.0,4,0.49999999999999994,0.2697967711570243
0.0,4,0.7071067811865476,0.39840108984624145
0.0,4,0.8660254037844386,0.5195839500354336
0.0,4,0.9659258262890683,0.6310879443260529
0.0,4,1.0,0.730835964278124
0.0,4,0.9659258262890683,0.816969893010442
28.0,4,0.8660254037844387,0.8878852184023752
320.0,4,0.7071067811865476,0.9422609221188204
794.0,4,0.49999999999999994,0.9790840876823229
1213.0,4,0.258819045102521,0.9976687691905392
1485.0,4,1.2246467991473532e-16,0.9976687691905392
1481.0,4,-0.2588190451025208,0.9790840876823229
1350.0,4,-0.4999999999999997,0.9422609221188205
905.0,4,-0.7071067811865471,0.8878852184023752
345.0,4,-0.8660254037844385,0.8169698930104421
29.0,4,-0.9659258262890683,0.7308359642781239
4.0,4,-1.0,0.631087944326053
1.0,4,-0.9659258262890684,0.5195839500354339
1.0,4,-0.8660254037844386,0.3984010898462414
1.0,4,-0.7071067811865477,0.2697967711570243
0.0,4,-0.5000000000000004,0.1361666490962471
0.0,4,-0.25881904510252157,1.2246467991473532e-16
0.0,5,0.0,0.0
0.0,5,0.25881904510252074,0.1361666490962466
0.0,5,0.49999999999999994,0.2697967711570243
0.0,5,0.7071067811865476,0.39840108984624145
0.0,5,0.8660254037844386,0.5195839500354336
0.0,5,0.9659258262890683,0.6310879443260529
0.0,5,1.0,0.730835964278124
0.0,5,0.9659258262890683,0.816969893010442
31.0,5,0.8660254037844387,0.8878852184023752
454.0,5,0.7071067811865476,0.9422609221188204
1211.0,5,0.49999999999999994,0.9790840876823229
1834.0,5,0.258819045102521,0.9976687691905392
2114.0,5,1.2246467991473532e-16,0.9976687691905392
2113.0,5,-0.2588190451025208,0.9790840876823229
1858.0,5,-0.4999999999999997,0.9422609221188205
1288.0,5,-0.7071067811865471,0.8878852184023752
487.0,5,-0.8660254037844385,0.8169698930104421
40.0,5,-0.9659258262890683,0.7308359642781239
4.0,5,-1.0,0.631087944326053
1.0,5,-0.9659258262890684,0.5195839500354339
1.0,5,-0.8660254037844386,0.3984010898462414
1.0,5,-0.7071067811865477,0.2697967711570243
1.0,5,-0.5000000000000004,0.1361666490962471
0.0,5,-0.25881904510252157,1.2246467991473532e-16
0.0,6,0.0,0.0
0.0,6,0.25881904510252074,0.1361666490962466
0.0,6,0.49999999999999994,0.2697967711570243
0.0,6,0.7071067811865476,0.39840108984624145
0.0,6,0.8660254037844386,0.5195839500354336
0.0,6,0.9659258262890683,0.6310879443260529
0.0,6,1.0,0.730835964278124
0.0,6,0.9659258262890683,0.816969893010442
27.0,6,0.8660254037844387,0.8878852184023752
370.0,6,0.7071067811865476,0.9422609221188204
993.0,6,0.49999999999999994,0.9790840876823229
1529.0,6,0.258819045102521,0.9976687691905392
1818.0,6,1.2246467991473532e-16,0.9976687691905392
1851.0,6,-0.2588190451025208,0.9790840876823229
1593.0,6,-0.4999999999999997,0.9422609221188205
1038.0,6,-0.7071067811865471,0.8878852184023752
338.0,6,-0.8660254037844385,0.8169698930104421
22.0,6,-0.9659258262890683,0.7308359642781239
3.0,6,-1.0,0.631087944326053
1.0,6,-0.9659258262890684,0.5195839500354339
0.0,6,-0.8660254037844386,0.3984010898462414
0.0,6,-0.7071067811865477,0.2697967711570243
0.0,6,-0.5000000000000004,0.1361666490962471
0.0,6,-0.25881904510252157,1.2246467991473532e-16
0.0,7,0.0,0.0
0.0,7,0.25881904510252074,0.1361666490962466
0.0,7,0.49999999999999994,0.2697967711570243
0.0,7,0.7071067811865476,0.39840108984624145
0.0,7,0.8660254037844386,0.5195839500354336
0.0,7,0.9659258262890683,0.6310879443260529
0.0,7,1.0,0.730835964278124
0.0,7,0.9659258262890683,0.816969893010442
18.0,7,0.8660254037844387,0.8878852184023752
199.0,7,0.7071067811865476,0.9422609221188204
499.0,7,0.49999999999999994,0.9790840876823229
787.0,7,0.258819045102521,0.9976687691905392
1054.0,7,1.2246467991473532e-16,0.9976687691905392
1127.0,7,-0.2588190451025208,0.9790840876823229
937.0,7,-0.4999999999999997,0.9422609221188205
558.0,7,-0.7071067811865471,0.8878852184023752
200.0,7,-0.8660254037844385,0.8169698930104421
15.0,7,-0.9659258262890683,0.7308359642781239
1.0,7,-1.0,0.631087944326053
0.0,7,-0.9659258262890684,0.5195839500354339
0.0,7,-0.8660254037844386,0.3984010898462414
0.0,7,-0.7071067811865477,0.2697967711570243
0.0,7,-0.5000000000000004,0.1361666490962471
0.0,7,-0.25881904510252157,1.2246467991473532e-16
0.0,8,0.0,0.0
0.0,8,0.25881904510252074,0.1361666490962466
0.0,8,0.49999999999999994,0.2697967711570243
0.0,8,0.7071067811865476,0.39840108984624145
0.0,8,0.8660254037844386,0.5195839500354336
0.0,8,0.9659258262890683,0.6310879443260529
0.0,8,1.0,0.730835964278124
0.0,8,0.9659258262890683,0.816969893010442
30.0,8,0.8660254037844387,0.8878852184023752
376.0,8,0.7071067811865476,0.9422609221188204
961.0,8,0.49999999999999994,0.9790840876823229
1380.0,8,0.258819045102521,0.9976687691905392
1597.0,8,1.2246467991473532e-16,0.9976687691905392
1673.0,8,-0.2588190451025208,0.9790840876823229
1512.0,8,-0.4999999999999997,0.9422609221188205
1113.0,8,-0.7071067811865471,0.8878852184023752
448.0,8,-0.8660254037844385,0.8169698930104421
38.0,8,-0.9659258262890683,0.7308359642781239
1.0,8,-1.0,0.631087944326053
0.0,8,-0.9659258262890684,0.5195839500354339
0.0,8,-0.8660254037844386,0.3984010898462414
0.0,8,-0.7071067811865477,0.2697967711570243
0.0,8,-0.5000000000000004,0.1361666490962471
0.0,8,-0.25881904510252157,1.2246467991473532e-16
0.0,9,0.0,0.0
0.0,9,0.25881904510252074,0.1361666490962466
0.0,9,0.49999999999999994,0.2697967711570243
0.0,9,0.7071067811865476,0.39840108984624145
0.0,9,0.8660254037844386,0.5195839500354336
4.0,9,0.9659258262890683,0.6310879443260529
0.0,9,1.0,0.730835964278124
0.0,9,0.9659258262890683,0.816969893010442
34.0,9,0.8660254037844387,0.8878852184023752
411.0,9,0.7071067811865476,0.9422609221188204
1041.0,9,0.49999999999999994,0.9790840876823229
1651.0,9,0.258819045102521,0.9976687691905392
1978.0,9,1.2246467991473532e-16,0.9976687691905392
1955.0,9,-0.2588190451025208,0.9790840876823229
1610.0,9,-0.4999999999999997,0.9422609221188205
1048.0,9,-0.7071067811865471,0.8878852184023752
325.0,9,-0.8660254037844385,0.8169698930104421
21.0,9,-0.9659258262890683,0.7308359642781239
4.0,9,-1.0,0.631087944326053
2.0,9,-0.9659258262890684,0.5195839500354339
2.0,9,-0.8660254037844386,0.3984010898462414
2.0,9,-0.7071067811865477,0.2697967711570243
1.0,9,-0.5000000000000004,0.1361666490962471
0.0,9,-0.25881904510252157,1.2246467991473532e-16
0.0,10,0.0,0.0
0.0,10,0.25881904510252074,0.1361666490962466
0.0,10,0.49999999999999994,0.2697967711570243
0.0,10,0.7071067811865476,0.39840108984624145
0.0,10,0.8660254037844386,0.5195839500354336
0.0,10,0.9659258262890683,0.6310879443260529
0.0,10,1.0,0.730835964278124
0.0,10,0.9659258262890683,0.816969893010442
6.0,10,0.8660254037844387,0.8878852184023752
156.0,10,0.7071067811865476,0.9422609221188204
535.0,10,0.49999999999999994,0.9790840876823229
970.0,10,0.258819045102521,0.9976687691905392
1125.0,10,1.2246467991473532e-16,0.9976687691905392
1119.0,10,-0.2588190451025208,0.9790840876823229
957.0,10,-0.4999999999999997,0.9422609221188205
732.0,10,-0.7071067811865471,0.8878852184023752
321.0,10,-0.8660254037844385,0.8169698930104421
34.0,10,-0.9659258262890683,0.7308359642781239
1.0,10,-1.0,0.631087944326053
0.0,10,-0.9659258262890684,0.5195839500354339
0.0,10,-0.8660254037844386,0.3984010898462414
0.0,10,-0.7071067811865477,0.2697967711570243
0.0,10,-0.5000000000000004,0.1361666490962471
0.0,10,-0.25881904510252157,1.2246467991473532e-16
0.0,11,0.0,0.0
0.0,11,0.25881904510252074,0.1361666490962466
0.0,11,0.49999999999999994,0.2697967711570243
0.0,11,0.7071067811865476,0.39840108984624145
0.0,11,0.8660254037844386,0.5195839500354336
0.0,11,0.9659258262890683,0.6310879443260529
0.0,11,1.0,0.730835964278124
0.0,11,0.9659258262890683,0.816969893010442
32.0,11,0.8660254037844387,0.8878852184023752
481.0,11,0.7071067811865476,0.9422609221188204
1325.0,11,0.49999999999999994,0.9790840876823229
1987.0,11,0.258819045102521,0.9976687691905392
2300.0,11,1.2246467991473532e-16,0.9976687691905392
2303.0,11,-0.2588190451025208,0.9790840876823229
2071.0,11,-0.4999999999999997,0.9422609221188205
1453.0,11,-0.7071067811865471,0.8878852184023752
579.0,11,-0.8660254037844385,0.8169698930104421
50.0,11,-0.9659258262890683,0.7308359642781239
3.0,11,-1.0,0.631087944326053
2.0,11,-0.9659258262890684,0.5195839500354339
1.0,11,-0.8660254037844386,0.3984010898462414
1.0,11,-0.7071067811865477,0.2697967711570243
0.0,11,-0.5000000000000004,0.1361666490962471
0.0,11,-0.25881904510252157,1.2246467991473532e-16
0.0,12,0.0,0.0
0.0,12,0.25881904510252074,0.1361666490962466
